AGENT_IMAGE, DISABLE_LOG_TRACKING, DISABLE_PYTHON_LOG_TRACKING, LOG_WRITER_REPLICAS, allup_pod_cpu_agg, allup_pod_mem_agg, cpu_usage_fbit_agg, cpu_usage_fluentd_supervisor_agg, cpu_usage_fluentd_worker_agg, cpu_usage_mdsd_agg, cpu_usage_python_agg, cpu_usage_telegraf_agg, disk_kb_read_per_sec_agg, disk_kb_write_per_sec_agg, disk_reads_per_sec_agg, disk_writes_per_sec_agg, mem_usage_fbit_agg, mem_usage_fluentd_supervisor_agg, mem_usage_fluentd_worker_agg, mem_usage_mdsd_agg, mem_usage_python_agg, mem_usage_telegraf_agg, kusto_bytes_lost_per_minute, kusto_bytes_sent_per_minute
davidmichelman/countrotations:v62, true, true, 20, 203.92842576541017, 398.1425727553052, 14.12141848470108, 0.5999995714288775, 1.6714273775518733, 4.578568158165601, 0.0, 0.19999985714295923, 46.32139548471752, 828.2108369922593, 2.434283975511446, 45.93282433369691, 140431.32826333697, 46626.82383798297, 49306.53620961699, 100548.21389413293, 0.0, 76081.0885135082, 1282.1390374331552, 109877917.86096257
davidmichelman/countrotations:v62, false, true, 70, 488.4996510716778, 669.7138073472805, 27.507123209197704, 0.6857137959187174, 3.1928548622465267, 14.292846933680762, 0.0, 0.24999875000624996, 45.582824583696734, 896.9422164698456, 2.3949982892869364, 47.90639435257547, 291741.50589892437, 38538.82961512171, 64200.23985697153, 215945.27432480405, 0.0, 77055.6147219264, 35179265.92844974, 316453066.7120954
davidmichelman/countrotations:v62, false, false, 50, 483.64251168392025, 584.42815397989, 27.52855176532017, 0.6571423877554374, 2.5642838826543697, 12.771419448986107, 0.1999998571429592, 0.2071427091837792, 44.814967989308585, 994.5178610586707, 2.3549983178583447, 50.63210669135237, 211057.27781623014, 51835.96297431216, 78555.37246044824, 190932.4350482607, 16299.416928987908, 75765.08873922234, 86888.23140495867, 260841111.76859504
davidmichelman/countrotations:v62, false, true, 50, 397.5711445920396, 585.4281532656048, 21.814270132664195, 0.7071423520411774, 2.6214266989809296, 12.314276918373631, 0.0, 0.2071427091837792, 44.09782564441025, 1072.1320913342204, 2.31785548724608, 52.93496218931272, 215659.8459572529, 38607.97242287684, 56846.81653798819, 180695.01378927586, 0.0, 76737.08804493712, 0.0, 9180000.0
davidmichelman/countrotations:v62, true, true, 50, 459.0711006634995, 563.2853119390629, 26.578552443891112, 0.7285709081636372, 2.5928552908176496, 12.535705331639049, 0.0, 0.2071427091837792, 43.42711183777727, 1144.5456110388493, 2.282141227041981, 55.19353200462, 210991.5635774546, 39395.9718600201, 58837.672258805535, 179854.72867519382, 0.0, 80681.08522779627, 112256.96864111499, 260815638.50174215
davidmichelman/countrotations:v62, true, false, 1, 96.78564515311061, 340.9283279083372, 1.8714272346948326, 0.707142352041177, 1.3142847755108749, 0.5785710153064176, 0.0, 0.14285704081639944, 42.78639800971571, 1180.405585424582, 2.2492841076542094, 56.38353115462061, 111518.20605842424, 39203.4005689996, 47263.39481186085, 49918.535772474446, 6387.995437146116, 76649.37382187584, 8068.846153846153, 14190753.461538462
davidmichelman/countrotations:v62, true, false, 20, 207.07128066337097, 439.14254346961184, 13.807132994905002, 0.6357138316329773, 1.571427448980394, 4.70713949490036, 0.0999999285714796, 0.14999989285721943, 42.11925562910313, 1186.5241524827484, 2.2128555622460273, 56.7371023306412, 153956.17574558876, 38723.40091185649, 48729.96519288201, 97347.93046576396, 6487.9953657175965, 74023.3756975888, 1597.1473354231975, 109877602.85266457
davidmichelman/countrotations:v62, false, false, 20, 216.42841683684512, 424.9996964287883, 14.264275525517482, 0.5642853112247778, 1.5785703010212138, 4.67856808673708, 0.0999999285714796, 0.14999989285721943, 41.47139894900075, 1210.5669924521483, 2.1792841576541737, 57.42924469339664, 149765.89302436213, 41825.97012430705, 48934.82218941272, 97940.50147107038, 6315.995488574651, 81302.22764126597, 1574.9304482225657, 109636382.7820711
mcr.microsoft.com/azuremonitor/containerinsights/ciprod:ciprod10132021, true, true, 20, 194.57128959193602, 446.2853955104318, 14.164275596946004, 0.5285710510206779, 1.6642845255110532, 4.56428245408396, 0.0, 0.23571411734705913, 0.0, 0.0, 0.0, 0.0, 160954.1707470209, 38671.97237716259, 52436.24825982267, 95126.2177669873, 0.0, 78275.65837452974, 1542.636655948553, 109511657.170418
davidmichelman/countrotations:v62, false, false, 70, 487.6425088267794, 676.5709453064677, 28.057122816340847, 0.6214281275513376, 3.171426306124067, 13.764275882660083, 0.29999978571443875, 0.1999998571429592, 43.20782628012408, 1295.0655035246402, 2.199998428572551, 59.93138576329589, 270222.6641266685, 38789.97229287693, 60636.528116765636, 207513.2803476569, 6427.995408574709, 78531.94390575435, 64177722.50000001, 283594100.35714287
davidmichelman/countrotations:v62, false, true, 10, 141.99989857150103, 396.0711456634674, 8.778565158167744, 0.5571424591839578, 1.3999990000007139, 2.44285539796043, 0.0, 0.15714274489803937, 42.55354103318498, 1355.3926032909976, 2.167141309184779, 61.601384570439606, 118034.20140414186, 38939.97218573416, 46714.82377512588, 72115.09134636332, 0.0, 74293.08979065015, 582.8849270664506, 59529017.115072936
mcr.microsoft.com/azuremonitor/containerinsights/ciprod:ciprod10132021, true, true, 60, 471.99966285738367, 677.9280871942234, 27.514266061238526, 0.6857137959187174, 2.821426556123888, 14.521418198987002, 0.0, 0.2071427091837792, 0.0, 0.0, 0.0, 0.0, 286066.08138137043, 66170.23844982967, 84162.51131249192, 247550.394606861, 0.0, 75354.517603916, 1867164.0552995391, 309468626.54377884
davidmichelman/countrotations:v62, true, false, 60, 484.35679688800224, 655.570960306457, 26.949980750013747, 0.6428566836737976, 2.7857122959197884, 14.88570365306882, 0.29999978571443875, 0.2071427091837792, 41.26711338063329, 1478.6268009808566, 2.1014270704092355, 64.92495362503314, 263334.9547607466, 57172.816305131215, 70953.37789044436, 212890.7050780678, 6527.995337146188, 78126.51562391741, 326290.5934718101, 310802615.5192879
davidmichelman/countrotations:v62, false, false, 1, 42.07139852042963, 314.2854897960787, 2.0285699795928718, 0.5571424591839578, 1.2928562193884148, 0.47857108673493814, 0.0, 0.1999998571429592, 40.66425666838809, 1519.1789148722037, 2.0714270918377915, 66.04280996942146, 99052.50067678523, 38671.97237716259, 45523.39605471711, 46385.68115308489, 9030.564978167873, 71191.37772044449, 282.1316614420063, 14135760.0
davidmichelman/countrotations:v62, true, false, 40, 390.571149592036, 541.499613214562, 24.335696903073643, 0.5428567551023178, 2.1142842040827117, 10.221421270413378, 0.1999998571429592, 0.22857126530623914, 40.0928285051225, 1533.7596187431293, 2.0414271132663475, 66.46638109544209, 191148.14917989346, 45750.25303553355, 65118.23920125772, 143791.89729150193, 6515.995345717611, 75008.51785105868, 109874.8406676783, 210466615.0834598
davidmichelman/countrotations:v62, true, true, 90, 474.78537515330345, 665.6423816840131, 29.3642647398109, 0.6071424234696975, 4.185711295920504, 11.321420484699656, 0.0, 0.2071427091837792, 39.49140036328546, 1618.340986899295, 2.0114271346949035, 69.052807819423, 293379.2190148436, 39207.97199430572, 64637.38240186971, 185392.1532913191, 0.0, 75374.5175896303, 228878762.49999997, 196849180.0
davidmichelman/countrotations:v62, true, false, 10, 134.99990357149744, 369.3568790308007, 8.914279346943324, 0.5428567551023178, 1.3285704795925144, 2.42856969387879, 0.057142816326559764, 0.14999989285721943, 38.93425790410149, 1683.5295117646344, 1.983570011735706, 70.85423510411779, 116244.48839679401, 39933.114333489764, 48240.82268512665, 76717.37377330445, 6419.99541428899, 76417.08827350837, 1225.188679245283, 59528374.81132076
davidmichelman/countrotations:v62, false, false, 10, 123.5713403061855, 374.7140180614157, 9.014279275514806, 0.5785710153064176, 1.3785704438782542, 2.62856955102175, 0.0999999285714796, 0.2071427091837792, 38.43211540563185, 1683.7909401493282, 1.957855744388754, 70.9092350648321, 126364.48116822774, 39948.54289389793, 48378.25115839203, 75740.23161412028, 6375.995445717539, 70844.52082534228, 650.9767441860465, 59489918.325581394
davidmichelman/countrotations:v62, false, false, 40, 406.64256668388094, 571.8567343880469, 24.72855376531874, 0.6071424234696974, 2.0142842755112316, 10.092849933678616, 0.1999998571429592, 0.2071427091837792, 37.917830058692815, 1702.9737835901542, 1.9314271918377202, 71.4728060908528, 187111.58063458526, 39015.97213144848, 62801.097999215715, 148403.89399721858, 6431.995405717567, 80087.94279432658, 2260.4524886877825, 210576049.14027148
davidmichelman/countrotations:v62, true, true, 10, 137.14275918374344, 392.9997192859148, 8.457136816330845, 0.6571423877554372, 1.449998964286454, 2.51428391836863, 0.0, 0.1999998571429592, 37.418544701039494, 1726.9951950034317, 1.9064272096948498, 72.1899484357511, 116801.34514189632, 38608.54385104011, 48260.25124267769, 94242.21839841543, 0.0, 77403.94471146807, 107153.77633711508, 59414285.834683955
davidmichelman/countrotations:v62, false, true, 80, 472.5710910206493, 675.7852315819774, 29.1856934387904, 0.6428566836737976, 3.5714260204099855, 12.32856262245527, 0.0, 0.22142841326541918, 36.93068790665149, 1771.9365914738632, 1.88142722755198, 73.43851897248646, 269184.09343993326, 48027.10855206532, 66585.9524386054, 169594.45028967838, 0.0, 78617.37241616256, 169867000.0, 222716250.0
davidmichelman/countrotations:v62, false, false, 80, 482.3567983165726, 649.49953607176, 29.221407698994504, 0.5857138673472376, 3.842854397961144, 11.514277489801792, 0.3999997142859184, 0.1999998571429592, 36.39711685920225, 1870.0015214274847, 1.8549986750009468, 76.14423132554906, 295310.64620668127, 50091.96422002556, 60329.09976492874, 184744.72518233917, 29323.40762613741, 75878.80294371219, 164675891.33235726, 214826241.61054173
